#####################################################################################
# 1. SETUP SECTION
#####################################################################################
# 
# set VSIM_RTL 1
# 1
# 
# Create libraries and map paths to names
# 
# vlib work
# ** Warning: (vlib-34) Library already exists at "work".
# Errors: 0, Warnings: 1
# vmap work work
# QuestaSim-64 vmap 2022.4_1 Lib Mapping Utility 2022.11 Nov 11 2022
# vmap work work 
# Modifying modelsim.ini
# 
# source input/0_setup_design.tcl 
# input/effreg_tb.sv
# 
#####################################################################################
# 2. COMPILATION (ANALYSIS)
#####################################################################################
# 
# Compile RTL model and testbench to 'work'
# 
# if { [info exists RTL_FILES ] } {
#     eval vlog -work work ${RTL_FILES}
# }
# QuestaSim-64 vlog 2022.4_1 Compiler 2022.11 Nov 11 2022
# Start time: 02:58:55 on Jul 27,2024
# vlog -reportprogress 300 -work work input/effreg.sv 
# -- Compiling module and2
# -- Compiling module or2
# -- Compiling module inv
# -- Compiling module dff
# -- Compiling module eff
# -- Compiling module effreg
# 
# Top level modules:
# 	effreg
# End time: 02:58:55 on Jul 27,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# eval vlog -timescale 1ns/1ps -work work ${TESTBENCH_FILES}
# QuestaSim-64 vlog 2022.4_1 Compiler 2022.11 Nov 11 2022
# Start time: 02:58:55 on Jul 27,2024
# vlog -reportprogress 300 -timescale 1ns/1ps -work work input/effreg_tb.sv 
# -- Compiling module effreg_tb
# ** Error: (vlog-13069) input/effreg_tb.sv(34): near "#": syntax error, unexpected '#', expecting ';'.
# End time: 02:58:56 on Jul 27,2024, Elapsed time: 0:00:01
# Errors: 1, Warnings: 0
# ** Error: /sw/rhel7/siemens/questa_sim-2022.4_1/questasim/linux_x86_64/vlog failed.
# Error in macro ./scripts/vsim_rtlsim.tcl line 33
# /sw/rhel7/siemens/questa_sim-2022.4_1/questasim/linux_x86_64/vlog failed.
#     while executing
# "vlog -timescale 1ns/1ps -work work input/effreg_tb.sv"
#     ("eval" body line 1)
#     invoked from within
# "eval vlog -timescale 1ns/1ps -work work ${TESTBENCH_FILES}"
do scripts/vsim_rtlsim.tcl
# transcript file reports/vsim_transcript.txt
#####################################################################################
# 1. SETUP SECTION
#####################################################################################
# 
# set VSIM_RTL 1
# 1
# 
# Create libraries and map paths to names
# 
# vlib work
# ** Warning: (vlib-34) Library already exists at "work".
# Errors: 0, Warnings: 1
# vmap work work
# QuestaSim-64 vmap 2022.4_1 Lib Mapping Utility 2022.11 Nov 11 2022
# vmap work work 
# Modifying modelsim.ini
# 
# source input/0_setup_design.tcl 
# input/effreg_tb.sv
# 
#####################################################################################
# 2. COMPILATION (ANALYSIS)
#####################################################################################
# 
# Compile RTL model and testbench to 'work'
# 
# if { [info exists RTL_FILES ] } {
#     eval vlog -work work ${RTL_FILES}
# }
# QuestaSim-64 vlog 2022.4_1 Compiler 2022.11 Nov 11 2022
# Start time: 02:59:12 on Jul 27,2024
# vlog -reportprogress 300 -work work input/effreg.sv 
# -- Compiling module and2
# -- Compiling module or2
# -- Compiling module inv
# -- Compiling module dff
# -- Compiling module eff
# -- Compiling module effreg
# 
# Top level modules:
# 	effreg
# End time: 02:59:12 on Jul 27,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# eval vlog -timescale 1ns/1ps -work work ${TESTBENCH_FILES}
# QuestaSim-64 vlog 2022.4_1 Compiler 2022.11 Nov 11 2022
# Start time: 02:59:12 on Jul 27,2024
# vlog -reportprogress 300 -timescale 1ns/1ps -work work input/effreg_tb.sv 
# -- Compiling module effreg_tb
# ** Error: (vlog-13069) input/effreg_tb.sv(34): near "#": syntax error, unexpected '#', expecting ';'.
# End time: 02:59:12 on Jul 27,2024, Elapsed time: 0:00:00
# Errors: 1, Warnings: 0
# ** Error: /sw/rhel7/siemens/questa_sim-2022.4_1/questasim/linux_x86_64/vlog failed.
# Error in macro ./scripts/vsim_rtlsim.tcl line 33
# /sw/rhel7/siemens/questa_sim-2022.4_1/questasim/linux_x86_64/vlog failed.
#     while executing
# "vlog -timescale 1ns/1ps -work work input/effreg_tb.sv"
#     ("eval" body line 1)
#     invoked from within
# "eval vlog -timescale 1ns/1ps -work work ${TESTBENCH_FILES}"
